"","recipient_city","Primary_Type","Payment","date","year","Number_of_Payments","Payment_Form","Payment_Nature","Third_Party_Payment"
"41","RAPID CITY","",1000,2018-01-02,"2018",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","No Third Party Payment"
"89","DAKOTA DUNES","Medical Doctor",25000,2018-01-03,"2018",1,"Cash or cash equivalent","Royalty or License","No Third Party Payment"
"110","EDINA","Medical Doctor",4000,2018-01-04,"2018",1,"Cash or cash equivalent","Consulting Fee","Entity"
"131","Rapid City","",1000,2018-01-04,"2018",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","No Third Party Payment"
"189","SIOUX FALLS","Medical Doctor",1250,2018-01-05,"2018",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"222","SIOUX FALLS","Medical Doctor",2000,2018-01-05,"2018",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"229","ABERDEEN","Doctor of Osteopathy",5626,2018-01-06,"2018",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"244","SIOUX FALLS","Medical Doctor",5168,2018-01-06,"2018",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"275","SIOUX FALLS","Medical Doctor",2100,2018-01-08,"2018",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"372","SIOUX FALLS","Medical Doctor",1800,2018-01-09,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"395","PIERRE","Medical Doctor",2700,2018-01-09,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"426","SIOUX FALLS","Medical Doctor",1200,2018-01-09,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"431","SIOUX FALLS","Medical Doctor",3118,2018-01-09,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"466","DAKOTA DUNES","Medical Doctor",1035,2018-01-10,"2018",1,"In-kind items and services","Education","No Third Party Payment"
"518","Rapid City","Medical Doctor",3500,2018-01-11,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"541","Rapid City","Medical Doctor",1000,2018-01-11,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"543","SIOUX FALLS","Medical Doctor",1500,2018-01-11,"2018",1,"Cash or cash equivalent","Compensation for serving as faculty or as a speaker for a non-accredited and noncertified continuing education program","No Third Party Payment"
"552","SIOUX FALLS","Medical Doctor",2000,2018-01-11,"2018",1,"Cash or cash equivalent","Compensation for serving as faculty or as a speaker for a non-accredited and noncertified continuing education program","No Third Party Payment"
"580","SIOUX FALLS","Medical Doctor",3938,2018-01-12,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"624","RAPID CITY","",1000,2018-01-12,"2018",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","No Third Party Payment"
